name,price_wb_wallet_sales,price_wb_wallet_old,price_sales,price_old,brand,url,shop_name,guarantee_period,processor,family_processor,soked,cpu_clock_speed,processor_cores,max_count_threads,bost_cpu_clock_speed,technical_process,cashe_L3,processor_graphic,country
Процессор RYZEN 9 7950X3D OEM (100-000000908),-,-,57346.0,72591.0,AMD,https://www.wildberries.ru/catalog/182999045/detail.aspx,Modern Device,1 год,7950X3D,Ryzen 9,AM5,4200.0,16.0,32.0,5700.0,5.0,128.0,AMD Radeon Graphics,Китай
"Ryzen 9 7900X AM5, 12 x 4700 МГц, BOX",34383.0,36193.0,-,61912.0,AMD,https://www.wildberries.ru/catalog/209967895/detail.aspx,СМАРТ52,P1Y,AMD Ryzen 9 7900X BOX (без кулера),AMD Ryzen 9,AM5,-,12.0,24.0,-,5.0,-,есть,Китай
Процессор RYZEN 9 5900X (100-100000061WOF ),28235.0,29722.0,-,37624.0,AMD,https://www.wildberries.ru/catalog/200409880/detail.aspx,Modern Device,1 год,RYZEN 9 5900X,Ryzen 9,AM4,3700.0,12.0,24.0,4800.0,7.0,64.0,нет,Китай
Процессор Ryzen9 7900X3D (без кулера),38874.0,40920.0,-,44000.0,AMD,https://www.wildberries.ru/catalog/235637677/detail.aspx,CPU HOME,1 год,Ryzen 9 7900X 3D,AMD Ryzen 9,AM5,-,12.0,24.0,-,5.0,128.0,-,Китай
Процессор Ryzen 9 7900X BOX без кулера,36023.0,37919.0,-,59999.0,AMD,https://www.wildberries.ru/catalog/179363514/detail.aspx,WB Retail,1 год,AMD Ryzen 9 7900X,AMD Ryzen 9,AM5,4700.0,12.0,24.0,5600.0,5.0,64.0,-,-
Процессор RYZEN 9 7950X OEM(100-000000514),47267.0,49755.0,-,62982.0,AMD,https://www.wildberries.ru/catalog/179080903/detail.aspx,Modern Device,1 год,AMD Ryzen 9 7950X,Ryzen 9,AM5,4500.0,16.0,32.0,5700.0,5.0,64.0,Radeon Graphics,Китай
Центральный Процессор RYZEN 9 7900X3D BOX (100-100000909WOF),41180.0,43348.0,-,54871.0,AMD,https://www.wildberries.ru/catalog/217183595/detail.aspx,Modern Device,1 год,RYZEN 9 7900X3D,AMD Ryzen 9,AM5,4400.0,12.0,24.0,5600.0,5.0,128.0,AMD Radeon,Китай
AMD Ryzen 9 7900X,29691.0,31254.0,-,-,AMD,https://www.wildberries.ru/catalog/229365927/detail.aspx,Muchisimo Store,Новый с оригинальной коробкой,7900X,AMD Ryzen 7000 Series,AM5,-,12.0,24.0,-,5.0,64.0,AMD Radeon Graphics,Китай
Процессор Ryzen 9 7900X OEM (100-000000589) AM5,35448.0,37314.0,-,47233.0,AMD,https://www.wildberries.ru/catalog/137343201/detail.aspx,Modern Device,1 год,AMD Ryzen 9,Ryzen 9,AM5,4700.0,12.0,24.0,5600.0,5.0,64.0,Да,Китай
Amd - 100-000000908,-,-,61993.0,78473.0,Amd,https://www.wildberries.ru/catalog/215084784/detail.aspx,Computermarket.ru,-,-,-,-,-,-,-,-,-,-,-,-
"Ryzen 9 7900X AM5, 12 x 4700 МГц, OEM",34948.0,36788.0,-,66525.0,AMD,https://www.wildberries.ru/catalog/209967894/detail.aspx,СМАРТ52,P1Y,AMD Ryzen 9 7900X,AMD Ryzen 9,AM5,-,12.0,24.0,-,5.0,-,есть,Китай
AMD Ryzen 9 7950X3D BOX (без кулера),-,-,60435.0,76500.0,amd,https://www.wildberries.ru/catalog/238009160/detail.aspx,Энергия Синтез,1 год,AMD Ryzen 9 7950X3D,AMD Ryzen 9,AM5,4200.0,16.0,32.0,5200.0,5.0,-,AMD Radeon Graphics,Малайзия
Ryzen 9 5900X AM4 12x3700 МГц BOX,29155.0,30690.0,-,33000.0,AMD,https://www.wildberries.ru/catalog/222023421/detail.aspx,Uniqa,-,-,-,-,-,-,-,-,-,-,-,Малайзия
"Процессор AMD Ryzen 9 7900X3D AM5, 12 x 4400 МГц, OEM",42992.0,45255.0,-,83022.0,AMD,https://www.wildberries.ru/catalog/209969436/detail.aspx,СМАРТ52,P1Y,AMD Ryzen 9 7900X3D,AMD Ryzen 9,AM5,-,12.0,24.0,-,5.0,-,Radeon Graphics 2200 МГц; есть,Китай
Процессор Ryzen 9 7950X OEM,53772.0,56603.0,-,71650.0,AMD,https://www.wildberries.ru/catalog/238008995/detail.aspx,Hard Comp,1 год,AMD Ryzen 9 7950X,AMD Ryzen 9,AM5,4500.0,16.0,32.0,5700.0,5.0,64.0,Radeon Graphics,-
Процессор Ryzen 9 5950X OEM,38460.0,40485.0,-,51248.0,AMD,https://www.wildberries.ru/catalog/238006359/detail.aspx,Hard Comp,1 год,AMD Ryzen 9 5950X,AMD Ryzen 9,AM4,3400.0,16.0,32.0,4900.0,7.0,64.0,нет,-
Процессор Ryzen9 7950X3D (без кулера),53010.0,55800.0,-,60000.0,AMD,https://www.wildberries.ru/catalog/238240162/detail.aspx,CPU HOME,1 год,Ryzen 9 7950X 3D,AMD Ryzen 9,AM5,-,16.0,32.0,-,5.0,128.0,-,Китай
"Процессор Ryzen 9 7950X3D (16, 4.2 ГГц, 128 МБ, OEM)",-,-,62031.0,66700.0,AMD,https://www.wildberries.ru/catalog/231722763/detail.aspx,Uniqa,12 месяцев,AMD Ryzen 9 7950X3D,AMD Ryzen 9,AM5,-,16.0,32.0,-,5.0,128.0,нет,Тайвань
Процессор RYZEN 9 7900X3D OEM (100-000000909),45371.0,47759.0,-,60455.0,AMD,https://www.wildberries.ru/catalog/182998564/detail.aspx,Modern Device,1 год,7900X3D,Ryzen 9,AM5,4400.0,12.0,24.0,5600.0,5.0,128.0,AMD Radeon Graphics,Китай
Процессор Ryzen 9 7950X3D,-,-,66238.0,87340.0,AMD,https://www.wildberries.ru/catalog/196389077/detail.aspx,betechno,1 год,-,-,-,-,-,-,-,-,-,-,Малайзия
"Процессор Ryzen 9 7950X, SocketAM5, OEM 100-000000514",-,-,58654.0,77340.0,AMD,https://www.wildberries.ru/catalog/196033359/detail.aspx,betechno,1 год,-,-,-,-,-,-,-,-,-,-,Китай
Процессор Ryzen 9 5900X 3.7Ghz oem,30821.0,32444.0,-,42780.0,AMD,https://www.wildberries.ru/catalog/183274580/detail.aspx,betechno,1 год,-,AMD Ryzen 9,AM4,3700.0,12.0,24.0,4800.0,7.0,65536.0,Нет,-
Процессор Ryzen 9 5950X AM4 OEM 105W 3400 100-000000059,-,-,49999.0,-,AMD,https://www.wildberries.ru/catalog/235852895/detail.aspx,Эльдорадо,12 мес.,AMD Ryzen 9 5950X,AMD Ryzen 9,AM4,3400.0,16.0,-,4900.0,-,64.0,-,Китай
Процессор Ryzen 9 7900X AM5 OEM 170W 4700 100-000000589,-,-,45999.0,-,AMD,https://www.wildberries.ru/catalog/235852947/detail.aspx,Эльдорадо,12 мес.,AMD Ryzen 9 7900X,AMD Ryzen 9,AM4,4700.0,12.0,-,5200.0,-,64.0,-,Китай
Процессор Ryzen 9 5900X AM4 OEM 105W 3700 100-000000061,-,-,34999.0,-,AMD,https://www.wildberries.ru/catalog/235852945/detail.aspx,Эльдорадо,12 мес.,AMD Ryzen 9 5900X,AMD Ryzen 9,AM4,3700.0,12.0,-,4800.0,-,64.0,-,Китай
Процессор (CPU) AMD Ryzen 9 5900X 105W AM4,31533.0,33193.0,-,35692.0,AMD,https://www.wildberries.ru/catalog/102254109/detail.aspx,RINO.KZ,12,-,Ryzen 9,AM4,-,-,24.0,4.0,7.0,64.0,-,Китай
Процессор Ryzen 9 7950X AM5 tray (100-000000514),-,-,62574.0,79208.0,AMD,https://www.wildberries.ru/catalog/189439351/detail.aspx,KotoFoto,-,-,-,AM5,4500.0,16.0,32.0,-,-,-,-,-
Процессор Ryzen 9 7950X AM5 tray (100-000000514),-,-,62574.0,79208.0,AMD,https://www.wildberries.ru/catalog/188826790/detail.aspx,КотоФото,-,-,-,AM5,4500.0,16.0,32.0,-,-,-,-,-
"CPU AMD Ryzen 9 7900X OEM (100-000000589) (4,70GHz, Turbo 5,",45528.0,47925.0,-,60665.0,Amd,https://www.wildberries.ru/catalog/194438359/detail.aspx,Myriad Market - Мириады товаров по выгодным ценам!,-,-,-,-,-,-,-,-,-,-,-,-
Процессор RYZEN 9 7950X AM5 OEM 170W,-,-,65999.0,-,AMD,https://www.wildberries.ru/catalog/237037363/detail.aspx,Эльдорадо,12 мес.,AMD RYZEN 9 7950X,AMD Ryzen 9,AM5,4500.0,16.0,-,5700.0,-,-,Radeon Graphics,Малайзия
Процессор RYZEN 9 7900X3D без кулера,40151.0,42265.0,-,53500.0,AMD,https://www.wildberries.ru/catalog/222108404/detail.aspx,Умный дом,-,-,-,-,-,-,-,-,-,-,-,-
Процессор Ryzen 9 3900X AM4,32241.0,33938.0,-,44750.0,AMD,https://www.wildberries.ru/catalog/209738240/detail.aspx,Cyberhof,12 месяцев,AMD Ryzen 9 3900X,Ryzen 9,AM4,3800.0,12.0,24.0,4600.0,-,64.0,-,-
Процессор Ryzen 9 5950X 3.4Ghz oem,41311.0,43486.0,-,57340.0,AMD,https://www.wildberries.ru/catalog/183274576/detail.aspx,betechno,1 год,-,AMD Ryzen 9,AM4,3400.0,16.0,32.0,4900.0,7.0,65536.0,Нет,-
Процессор Ryzen 9 5900X OEM,28662.0,30171.0,-,38192.0,AMD,https://www.wildberries.ru/catalog/237999396/detail.aspx,Hard Comp,1 год,AMD Ryzen 9 5900X,AMD Ryzen 9,AM4,3700.0,12.0,24.0,4800.0,7.0,64.0,нет,-
Процессор Ryzen 9 7900X3D,48257.0,50797.0,-,66980.0,AMD,https://www.wildberries.ru/catalog/196389900/detail.aspx,betechno,1 год,-,-,-,-,-,-,-,-,-,-,-
Процессор Ryzen 9 7900X OEM AM5,37725.0,39711.0,-,42700.0,AMD,https://www.wildberries.ru/catalog/223644067/detail.aspx,Uniqa,1 год,-,-,-,-,-,-,-,-,-,-,Китай
Процессор Ryzen 9 7900X OEM,46224.0,48657.0,-,61592.0,AMD,https://www.wildberries.ru/catalog/238002212/detail.aspx,Hard Comp,1 год,AMD Ryzen 9 7900X,AMD Ryzen 9,AM5,4700.0,12.0,24.0,5600.0,5.0,64.0,Radeon Graphics,-
Процессор Ryzen 9 Ryzen 9 7900X,40714.0,42857.0,-,56510.0,AMD,https://www.wildberries.ru/catalog/183274738/detail.aspx,betechno,1 год,-,-,-,-,-,-,-,-,-,-,Малайзия
Процессор AMD Ryzen 9 7900X AM5,29800.0,31369.0,-,-,AMD,https://www.wildberries.ru/catalog/225157195/detail.aspx,Muchisimo Store,Новый с коробкой,AMD Ryzen 9 7900X Новый с коробкой,AMD Ryzen 7000 Series,AM5,-,12.0,24.0,-,-,64.0,AMD Radeon Graphics,Китай
AMD RYZEN 9 7900X3D,39588.0,41672.0,-,-,AMD,https://www.wildberries.ru/catalog/221519227/detail.aspx,Muchisimo Store,Новый в коробке,AMD RYZEN 9 7900X3D,AMD Ryzen 7000 3D Series,AM5,-,12.0,24.0,-,5.0,128.0,AMD Radeon Graphics,Китай
AMD RYZEN 9 7950X3D,47527.0,50029.0,-,-,AMD,https://www.wildberries.ru/catalog/221748922/detail.aspx,Muchisimo Store,Новинка без кулера,AMD RYZEN 9 7950X3D,Ryzen 7000 3D Series,AM5,-,16.0,32.0,-,5.0,128.0,AMD Radeon Graphics,Китай
Процессор AMD Ryzen 9 7950X 3D AM5,48715.0,51279.0,-,-,AMD,https://www.wildberries.ru/catalog/225157198/detail.aspx,Muchisimo Store,Новый с коробкой,AMD Ryzen 9 7950X3D AM5 Новый с коробкой,AMD Ryzen 7000 Series,AM5,-,16.0,32.0,-,-,128.0,AMD Radeon Graphics,Китай
AMD Ryzen 9 7950X,44261.0,46591.0,-,-,AMD,https://www.wildberries.ru/catalog/231027770/detail.aspx,Muchisimo Store,Новинка Без охладителя,AMD Ryzen 9 7950X,AMD RYZEN 7000 SERIES,AM5,-,16.0,32.0,-,5.0,64.0,AMD Radeon Graphics,Китай
AMD RYZEN 9 7950X3D Новый в коробке,51464.0,54173.0,-,-,AMD,https://www.wildberries.ru/catalog/232989885/detail.aspx,Muchisimo Store,100% новый с оригинальной коробкой,AMD RYZEN 9 7950X3D New With Box,AMD RYZEN 7000 Series,AM4,-,16.0,32.0,-,-,128.0,AMD Radeon Graphics,Китай
AMD RYZEN 9 7950X3D,49265.0,51858.0,-,-,AMD,https://www.wildberries.ru/catalog/221520430/detail.aspx,Muchisimo Store,Новый в коробке,AMD RYZEN 9 7950X3D,AMD Ryzen 7000 Series,AM5,4.2,16.0,32.0,5.7,5.0,128.0,-,中国
AMD Ryzen 9 7950X3D,48935.0,51511.0,-,-,AMD,https://www.wildberries.ru/catalog/229368590/detail.aspx,Muchisimo Store,Новый с оригинальной коробкой,AMD Ryzen 7000 Series,AMD Ryzen 7000 Series,AM5,-,16.0,32.0,-,5.0,128.0,AMD Radeon Graphics,Китай
AMD RYZEN 9 7950X Новый в коробке,47671.0,50180.0,-,-,AMD,https://www.wildberries.ru/catalog/232987355/detail.aspx,Muchisimo Store,100% новый с оригинальной коробкой,AMD RYZEN 9 7950X,Ryzen 7000 Series,AM5,-,16.0,32.0,-,-,64.0,AMD Radeon Graphics,Китай
AMD RYZEN 9 7950X,46186.0,48617.0,-,-,AMD,https://www.wildberries.ru/catalog/221466237/detail.aspx,Muchisimo Store,Новый в коробке,AMD RYZEN 9 7950X Box,AMD Ryzen 7000 Series,AM5,-,16.0,32.0,-,5.0,64.0,AMD Radeon Graphics,Китай
AMD Ryzen 9 7950X,45636.0,48038.0,-,-,AMD,https://www.wildberries.ru/catalog/229367050/detail.aspx,Muchisimo Store,Новый с оригинальной коробкой,7950X,AMD Ryzen 7000 Series,AM5,-,16.0,32.0,-,5.0,64.0,AMD Radeon Graphics,Китай
Процессор AMD Ryzen 9 7950X AM5,45636.0,48038.0,-,-,AMD,https://www.wildberries.ru/catalog/225157196/detail.aspx,Muchisimo Store,Новый с коробкой,AMD Ryzen 9 7950X Новый с коробкой,AMD Ryzen 7000 Series,AM5,-,16.0,32.0,-,-,-,AMD Radeon Graphics,Китай
AMD Ryzen 9 7950X,41787.0,43987.0,-,-,AMD,https://www.wildberries.ru/catalog/221698525/detail.aspx,Muchisimo Store,"Новый, без кулера",AMD Ryzen 9 7950X,AMD Ryzen 9 7000 Series,AM4,4.5,16.0,32.0,5.7,5.0,64.0,AMD Radeon Graphics,中国
AMD RYZEN 9 7900X3D Новый в коробке,40687.0,42829.0,-,-,AMD,https://www.wildberries.ru/catalog/232989150/detail.aspx,Muchisimo Store,100% новый с оригинальной коробкой,AMD RYZEN 9 7900X3D New With Box,AMD RYZEN 7000 Series,AM5,-,12.0,24.0,-,-,128.0,AMD Radeon Graphics,Китай
AMD Ryzen 9 7900X 3D,39148.0,41209.0,-,-,AMD,https://www.wildberries.ru/catalog/229367914/detail.aspx,Muchisimo Store,Новый с оригинальной коробкой,AMD Ryzen 7000 Series,AMD Ryzen 7000 Series,AM5,-,12.0,24.0,-,5.0,128.0,AMD Radeon Graphics,Китай
Процессор AMD Ryzen 9 7900X 3D AM5,39148.0,41209.0,-,-,AMD,https://www.wildberries.ru/catalog/225157197/detail.aspx,Muchisimo Store,Новый с коробкой,AMD Ryzen 9 7900X3D AM5 Новый с коробкой,AMD Ryzen 7000 Series,AM5,-,12.0,24.0,-,-,128.0,AMD Radeon Graphics,Китай
Настольный процессор AMD Ryzen 9 7900X,30790.0,32411.0,-,-,AMD,https://www.wildberries.ru/catalog/220051794/detail.aspx,Muchisimo Store,Новый процессор,AMD Ryzen 9 7900X,Серия AMD RYZEN 7000,AM5,4.7,12.0,24.0,5.6,5.0,64.0,AMD Radeon Graphics,中国
AMD RYZEN 9 7900X Новый в коробке,30571.0,32180.0,-,-,AMD,https://www.wildberries.ru/catalog/232986105/detail.aspx,Muchisimo Store,100% новый без охладителя,AMD RYZEN 7900X,AMD RYZEN 7000 SERIES,AM5,-,12.0,24.0,-,-,64.0,AMD Radeon Graphics,Китай
AMD RYZEN 9 7900X,30240.0,31832.0,-,-,AMD,https://www.wildberries.ru/catalog/221463257/detail.aspx,Muchisimo Store,Новый в коробке,AMD RYZEN 9 7900X,-,AM5,-,12.0,24.0,-,5.0,64.0,AMD Radeon Graphics,Китай
AMD Процессор Ryzen 9 7950X3D AM5 OEM (без кулера),-,-,57878.0,115756.0,AMD,https://www.wildberries.ru/catalog/239019529/detail.aspx,Технологический универмаг Store,-,-,-,-,-,-,-,-,-,-,-,-
Центральный Процессор RYZEN 9 7900X3D BOX (100-100000909WOF),42095.0,44311.0,-,-,AMD,https://www.wildberries.ru/catalog/228166920/detail.aspx,Outlet brand flagship store,1 год,RYZEN 9 7900X3D,AMD Ryzen 9,AM5,4400.0,12.0,24.0,5600.0,5.0,128.0,AMD Radeon,Китай
Центральный Процессор Ryzen 9 5950X OEM,37389.0,39357.0,-,78714.0,AMD,https://www.wildberries.ru/catalog/227094479/detail.aspx,Магазин электронных товаров,1,AMD,Ruilong R9,AMD; AM4,-,16.0,24.0,-,7.0,63.0,-,Китай
Процессор Ryzen 9 5900X OEM (без кулера),25952.0,27318.0,-,54637.0,AMD,https://www.wildberries.ru/catalog/226730712/detail.aspx,Магазин электронных товаров,1,AMD,Ruilong R9,AMD; AM4,-,12.0,24.0,-,7.0,64.0,-,Китай
"Процессор AMD RYZEN 9 5950X 3,4ГЦ (4,9ГГЦ TURBO)",48270.0,50811.0,-,54636.0,AMD,https://www.wildberries.ru/catalog/191417383/detail.aspx,WHY NOT,1 год,Ryzen 9 5950X,AMD Ryzen 9,AM4,3400.0,16.0,32.0,4.9,7.0,64.0,-,-
Процессор (CPU) AMD Ryzen 9 7950X3D 120 Вт AM5,-,-,73143.0,78649.0,AMD,https://www.wildberries.ru/catalog/206721129/detail.aspx,WHY NOT,1 год,7950X3D,RYZEN 9,AM5,-,16.0,32.0,-,5.0,128.0,AMD Radeon Graphics,Китай
"Процессор Ryzen 9 7900X, 4.7GHz (Raphael, 5.6)",42310.0,44537.0,-,47890.0,AMD,https://www.wildberries.ru/catalog/236239535/detail.aspx,LEPRO,1 год,AMD Ryzen 9 7900X,AMD Ryzen 9,AM5,4700.0,12.0,24.0,5600.0,5.0,-,-,Китай
"Процессор AMD Ryzen 9 7900X, 4.7GHz (Raphael, 5.6)",52454.0,55215.0,-,59372.0,AMD,https://www.wildberries.ru/catalog/178625128/detail.aspx,WHY NOT,12 мес.,7900X,Ryzen 9,AM5,4.7,12.0,24.0,5.6,-,64.0,AMD Radeon Graphics,Китай
"Процессор Ryzen 9 7950X3D (16, 4.2 ГГц, 128 МБ, OEM)",-,-,66010.0,78866.0,AMD,https://www.wildberries.ru/catalog/193048945/detail.aspx,240km/h Market,12 месяцев,AMD Ryzen 9 7950X3D,AMD Ryzen 9,AM5,4200.0,16.0,32.0,5700.0,5.0,128.0,нет,Тайвань
