Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Afghanistan,Kabul,Afġānistān,Kabul,PashtoDariArabic script
Albania,Tirana,Shqipëria,Tirana,Albanian
Algeria,Algiers,Dzayerⴷⵣⴰⵢⴻⵔ,Dzayerⴷⵣⴰⵢⴻⵔ,Berber languageTifinagh scriptArabicArabic script
American Samoa,Pago Pago,Amerika SāmoaAmerican Samoa,Pago PagoPago Pago,SamoanEnglish
Andorra,Andorra la Vella,Andorra,Andorra la Vella,Catalan
Angola,Luanda,AngolaNgola,Luanda,PortugueseKongo
Anguilla,The Valley,Anguilla,The Valley,English
Antigua and Barbuda,Saint John's,Antigua and Barbuda,St. John's,English
Argentina,Buenos Aires,Argentina,Buenos Aires,Spanish
Armenia,Yerevan,Hayastán,Yerevan,ArmenianArmenian alphabet
Aruba,Oranjestad,Aruba,Oranjestad,DutchPapiamento
Australia,Canberra,Australia,Canberra,EnglishAboriginal languages
Austria,Vienna,Österreich,Wien,German
Åland,Mariehamn,ÅlandAhvenanmaa,MariehamnMaarianhamina,SwedishFinnish
Azerbaijan,Baku,Azərbaycan,Bakı,Azerbaijani
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
The Bahamas,Nassau,The Bahamas,Nassau,English
Bahrain,Manama,Al-Baḥrayn,Al-Manāmah,ArabicArabic script
Bangladesh,Dhaka,Bānglādesh,Dhākā,BengaliBengali script
Barbados,Bridgetown,Barbados,Bridgetown,English
Belarus,Minsk,BielaruśBelarus,MinskMinsk,BelarusianCyrillic scriptRussianCyrillic script
Belgium,Brussels,BelgiëBelgiqueBelgien,BrusselBruxellesBrüssel,DutchFrenchGerman
Belize,Belmopan,Belize,Belmopan,English
Benin,Porto-Novo,Bénin,Porto-Novo,French
Bermuda,Hamilton,Bermuda,Hamilton,English
Bhutan,Thimphu,Druk Yul,Thimphu,DzongkhaTibetan alphabet
Bolivia,La Paz,BoliviaBuliwyaWuliwyaVolívia,La PazChuqiyapuChuqiyapuLa Paz,SpanishQuechuaAymaraGuaraní
Bonaire,Kralendijk,Bonaire,Boneiru,Dutch
Bosnia and Herzegovina,Sarajevo,Bosna i Hercegovina,Sarajevo,BosnianCroatianLatin scriptSerbianCyrillic script
Botswana,Gaborone,Botswana,Gaborone,EnglishTswana
Brazil,Brasília,Brasil,Brasília,Portuguese
British Virgin Islands,Road Town,British Virgin Islands,Road Town,English
Brunei,Bandar Seri Begawan,Brunei,Bandar Seri BegawanBandar,MalayJawi script
Bulgaria,Sofia,BălgariyaBălgarija,SofiyaSofija,BulgarianCyrillic script
Burkina Faso,Ouagadougou,Burkina Faso,Ouagadougou,French
Burundi,Gitega,UburundiBurundi,Gitega,KirundiFrench
Country (exonym),Capital (exonym),Country (endonym),Capital (endonym),Official or native language(s) (alphabet/script)
Cambodia,Phnom Penh,Kămpŭchéa,Phnum Pénh,KhmerKhmer script
Cameroon,Yaoundé,CamerounCameroon,YaoundéYaoundé,FrenchEnglish
Canada,Ottawa,Canada,Ottawa,EnglishFrench
Cape Verde,Praia,Cabo Verde,Praia,Portuguese
Cayman Islands,George Town,Cayman Islands,George Town,English
Central African Republic,Bangui,CentrafriqueBêafrîka,BanguiBangî,FrenchSango
Chad,N'Djamena,TchadTšād,NdjamenaNijāmīnā,FrenchArabicArabic script
Chile,Santiago,Chile,Santiago,Spanish
China,Beijing,,Běijīng,Mandarin ChineseChinese characters
Christmas Island,Flying Fish Cove,Christmas Island,Flying Fish Cove,English
Cocos Islands,West Island,Cocos Islands,West Island,English
Colombia,Bogotá,Colombia,Bogotá,Spanish
Comoros,Moroni,KomoriJuzur al-QamarComores,MoroniMoroniMoroni,ShikomorArabicArabic scriptFrench
Republic of the Congo,Brazzaville,République du CongoRepublíki ya Kongó,BrazzavilleBrazzaville,FrenchKongoLingala
Democratic Republic of the Congo,Kinshasa,République démocratique du CongoRepubilika ya Kôngo ya DimokalasiJamhuri ya Kidemokrasia ya Kongo,KinshasaKinsásáKinshasa,FrenchKongoLingalaSwahili
Cook Islands,Avarua,Cook IslandsKūki 'Āirani,AvaruaAvarua,EnglishCook Islands Māori
Costa Rica,San José,Costa Rica,San José,Spanish
Côte d'Ivoire,Yamoussoukro,Côte d'Ivoire,Yamoussoukro,French
Croatia,Zagreb,Hrvatska,Zagreb,Croatian
Cuba,Havana,Cuba,La Habana,Spanish
Curaçao,Willemstad,CuraçaoKòrsouCuraçao,WillemstadWillemstadWillemstad,DutchPapiamentoEnglish
Cyprus,Nicosia,KyprosKıbrıs,LefkosiaLefkoşa,GreekGreek alphabetTurkish
